Epoch,Tm, sigma_Tm
-9, 5616.96681, 0.00033
1, 5644.94080, 0.00018
6, 5658.92788, 0.00014
176, 6134.49375, 0.00042
201, 6204.43087, 0.00069
326, 6554.10947, 0.00062
330, 6565.30133, 0.00028
331, 6568.09678, 0.00039
341, 6596.07149, 0.00080
384, 6716.35974, 0.00037
416, 6805.87805, 0.00176
421, 6819.86407, 0.00058
436, 6861.82993, 0.00164
441, 6875.81335, 0.00081
559, 7205.91352, 0.00030
563, 7217.10278, 0.00039
588, 7287.04016, 0.00041
591, 7295.43210, 0.00033
656, 7477.26580, 0.00050
788, 7846.52635, 0.00107
794, 7863.31265, 0.00040
814, 7919.26183, 0.00090
819, 7933.24993, 0.00068
998, 8433.99057, 0.00030
1050, 8579.45633, 0.00095
1106, 8736.11516, 0.00037
1218, 9049.42530, 0.00081
1349, 9415.88838, 0.00052
1354, 9429.87531, 0.00231
