# Planet,WASP-52b
# N_transits,153
# N_rejected,12
# Reject_sigmas,10
# All data spans days,4488.189690725878
# All data spans years,12.3
# Period,1.7497812964493198
# Period_err,1.2575207966158673e-07
# Ref_midtime,2457671.197231877
# Ref_midtime_err,7.897215459990268e-05
# Ref_midtime_err_sec,6.8
# Quad_deltaP,-6.763421100324629e-10
# Quad_deltaP_err,3.530204790641803e-10
# Quad_deltaP_sigma,-1.9
# Quad_period,1.7497813271343883
# Quad_period_err,1.2567937901713693e-07
# Quad_refmid,2457671.1973692244
# Quad_refmid_err,0.00010614955458083552
# Quad_refmid_err_sec,9.2
# Pdot_ms_year,-12.2
# Pdot_ms_year_err,6.37
# Linear BIC,1028.8
# Quad BIC,1009.5
# Delta BIC,19.3
# Delta BIC if rescale errors,-1.4
# Analytical Delta BIC,20.3
# Analytical Delta BIC if WASP-12b like,49.5
# Median Delta BIC if omit one,19.3
# Mean Delta BIC if omit one,19.2
# Std Delta BIC if omit one,1.9
# Linear fit ephemeris
N_tr,Midtime,Midtime_err_days,Midtime_err_sec,O-C_days,O-C_sec,Source
-1083,2455776.18395,0.00015,12.96,-0.00013782,-11.91,2022ApJS..259...62I; 2017MNRAS.465..843M; 2013A&A...549A.134H
-1073,2455793.68118,0.00022,19.01,-0.00072079,-62.28,2022ApJS..259...62I; 2017MNRAS.465..843M; 2013A&A...549A.134H
-1053,2455828.6768,0.00015,12.96,-0.00072672,-62.79,2022ApJS..259...62I; 2017MNRAS.465..843M; 2013A&A...549A.134H
-800,2456271.3737875847,0.00042,36.29,0.00159287,137.62,TRESCA-Salisbury_M.
-674,2456491.84324,0.00026,22.46,-0.00139807,-120.79,2022ApJS..259...62I; 2022MNRAS.509.5102S; 2015MNRAS.450.3101B
-661,2456514.5934775816,0.00044,38.02,0.00168266,145.38,TRESCA-Ramon_Iglesias_Marzoa
-646,2456540.839077576,0.00041,35.42,0.00056321,48.66,TRESCA-Taylor_Andrew_Morris__Douglas_Tybor_Durig
-645,2456542.589297576,0.00049,42.34,0.00100191,86.56,TRESCA-Benni_P.
-641,2456549.58805,0.0002,17.28,0.00062915,54.36,2022ApJS..259...62I; 2017MNRAS.465..843M
-636,2456558.3352475744,0.00057,49.25,-0.00107976,-93.29,TRESCA-Scaggiante_F.__Zardin_D.
-636,2456558.33667,0.00082,70.85,0.00034266,29.61,2022ApJS..259...62I; 2022MNRAS.509.5102S; 2015MNRAS.450.3101B
-629,2456570.586337574,0.00023,19.87,0.00154116,133.16,TRESCA-Hays_B.
-628,2456572.334627574,0.00068,58.75,4.987e-05,4.31,TRESCA-Zibar_M.
-620,2456586.3321775743,0.00049,42.34,-0.0006505,-56.2,TRESCA-Sokov_E._N.__Klimanov_S.
-620,2456586.33293,0.00012,10.37,0.00010192,8.81,2022ApJS..259...62I; 2017MNRAS.465..843M
-617,2456591.5822675745,0.00047,40.61,9.561e-05,8.26,TRESCA-Benni_P.
-616,2456593.332577575,0.00044,38.02,0.00062431,53.94,TRESCA-Ayiomamitis_A.
-612,2456600.326957576,0.00077,66.53,-0.00412087,-356.04,TRESCA-Carreo_A.
-612,2456600.331777576,0.00045,38.88,0.00069913,60.4,TRESCA-Marino_G.
